GEOID,NAME,variable,variable_desc,estimate,moe
48,Texas,B01001_001,Total:,27862596,NA
48,Texas,B01001_002,  Male:,13830953,9002
48,Texas,B01001_003,    Under 5 years,1026904,5422
48,Texas,B01001_004,    5 to 9 years,1035190,13040
48,Texas,B01001_005,    10 to 14 years,1048942,12729
48,Texas,B01001_006,    15 to 17 years,612565,4019
48,Texas,B01001_007,    18 and 19 years,421215,6939
48,Texas,B01001_008,    20 years,208370,9348
48,Texas,B01001_009,    21 years,212797,7368
48,Texas,B01001_010,    22 to 24 years,605925,11116
48,Texas,B01001_011,    25 to 29 years,1038819,6643
48,Texas,B01001_012,    30 to 34 years,1014866,5100
48,Texas,B01001_013,    35 to 39 years,957530,14623
48,Texas,B01001_014,    40 to 44 years,914610,13306
48,Texas,B01001_015,    45 to 49 years,878559,5399
48,Texas,B01001_016,    50 to 54 years,856704,4617
48,Texas,B01001_017,    55 to 59 years,821431,10130
48,Texas,B01001_018,    60 and 61 years,290001,8993
48,Texas,B01001_019,    62 to 64 years,398219,9177
48,Texas,B01001_020,    65 and 66 years,233383,6458
48,Texas,B01001_021,    67 to 69 years,323556,7329
48,Texas,B01001_022,    70 to 74 years,382806,7874
48,Texas,B01001_023,    75 to 79 years,256048,6406
48,Texas,B01001_024,    80 to 84 years,161334,5349
48,Texas,B01001_025,    85 years and over,131179,4758
48,Texas,B01001_026,  Female:,14031643,9002
48,Texas,B01001_027,    Under 5 years,980007,5538
48,Texas,B01001_028,    5 to 9 years,996058,14340
48,Texas,B01001_029,    10 to 14 years,1002551,14504
48,Texas,B01001_030,    15 to 17 years,589477,3593
48,Texas,B01001_031,    18 and 19 years,382478,4911
48,Texas,B01001_032,    20 years,201346,8153
48,Texas,B01001_033,    21 years,195981,8748
48,Texas,B01001_034,    22 to 24 years,567510,10092
48,Texas,B01001_035,    25 to 29 years,1005944,5505
48,Texas,B01001_036,    30 to 34 years,1001961,6492
48,Texas,B01001_037,    35 to 39 years,949376,12017
48,Texas,B01001_038,    40 to 44 years,927322,11293
48,Texas,B01001_039,    45 to 49 years,890994,4409
48,Texas,B01001_040,    50 to 54 years,874407,4213
48,Texas,B01001_041,    55 to 59 years,847128,11840
48,Texas,B01001_042,    60 and 61 years,320212,9093
48,Texas,B01001_043,    62 to 64 years,434354,10261
48,Texas,B01001_044,    65 and 66 years,263098,7062
48,Texas,B01001_045,    67 to 69 years,363348,7458
48,Texas,B01001_046,    70 to 74 years,445516,7901
48,Texas,B01001_047,    75 to 79 years,325539,6944
48,Texas,B01001_048,    80 to 84 years,222717,5758
48,Texas,B01001_049,    85 years and over,244319,5862
